ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,categories,category
0751506451,The Maiden (The Morland Dynasty Series),Cynthia Harrod-Eagles,2001,Little Brown UK Ltd,"1720: political intrigue besets the kingdom as the Stuarts try to claim the throne occupied by the Hanoverians and the Morlands have to use all their wiles to keep their fortunes intact. Jeremy Morland, sole heir to his father's will, has no option but to marry to cold-hearted Lady Mary to secure Hanoverian protection and safeguard his inheritance. Then the rebellion of '45 and the bloody massacre at Culloden thrust his daughter Jemima into the spotlight as the saviour of the family. Independent, single-minded, and a rare beauty, Jemima is a capable caretaker of the Morland heritage. Although Morland Place and its lands suffer from the excesses of her dissolute husband, Jemima's quiet courage earns her an abiding love and loyalty.",Fiction,Fiction
0751506478,The Tangled Thread (The Morland Dynasty Series),Cynthia Harrod-Eagles,2001,Warner Books,"In the Morland Dynasty Series, the majestic sweep of English history is richly and movingly portrayed through the fictional lives of the Morland family. The 22 volumes that comprise this elegantly produced series offer entertainment of the most compelling kind.",Fiction,Fiction
0751533114,The Waiting Sands,Susan Howatch,2003,Little Brown UK Ltd,"Dearest Raye,' Decima had written...'I'm writing to ask if you can possibly come up to Ruthven for a few days. My twenty-first birthday falls next Sunday, and it would be such a relief if you could stay until after the celebration dinner party which Charles is giving for me on Saturday night. Please come, Raye. I may be behaving very stupidly by panicking like this, but I would feel so much less frightened if I knew you were beside me at Ruthven till after midnight on Saturday...' Dependable Rachel Lord hasn't heard from her friend Decima for over two years when out of the blue she is invited to Ruthven, the fairy tale Scottish castle that Decima will inherit on her coming of age. Her arrival is met with relief by Decima who is convinced her husband, Charles, means her harm. Is Decima in her right mind? Or is Rachel being duped by her worldlier friend? As the eve of the 21st birthday celebration approaches, a shocking event leaves Rachel in no doubt.",Fiction,Fiction
0752851802,The Dain Curse (Crime Masterworks S.),Dashiell Hammett,2002,Orion,"Miss Gabriel Dain Leggett is young and wealthy, with a penchant for morphine and religious cults. She also has an unfortunate effect on the people around her. They die - violently. Is she the victim of a family curse? The short, squat, utterly unsentimental Continental Op, the best private detective around, has his doubts and finds himself confronting something infinitely more dangerous. This is the Continental Op's most bizarre case.",Continental Op (Fictitious character),Fiction
0752853694,Unadulterated Cat,Terry Pratchett,2002,Orion,"The Unadulterated Cat is becoming an endangered species as more and more of us settle for those boring mass-produced cats the ad-men sell us - the pussies that purr into their gold-plated food bowls on the telly. But the Campaign for Real Cats sets out to change all that by helping us to recognise a true, unadulterated cat when we see one. For example: real cats have ears that look like they've been trimmed with pinking shears; real cats never wear flea collars . . . or appear on Christmas cards . . . or chase anything with a bell in it; real cats do eat quiche. And giblets. And butter. And anything else left on the table, if they think they can get away with it. Real cats can hear a fridge door opening two rooms away . . .",Cats,Animals
0753811464,Maya,Jostein Gaarder,0,Phoenix mass market p/bk,"A chance meeting on the Fijian island of Taveuni is the trigger for a fascinating and mysterious novel that intertwines the stories of John Spooke, an English author who is grieving for his dead wife; Frank Andersen, a Norwegian evolutionary biologist estranged from his wife Vera; and an enigmatic Spanish couple, Ana and Jose, who are absorbed in their love for each other. Why does Ana bear such a close resemblance to the model for Goya's famous Maja paintings? What is the significance of the Joker as he steps out of his pack of cards? As the action moves from Fiji to Spain, from the present to the past, unfolding further stories within the stories, the novel reveals an astonishing richness and complexity. As bold and imaginative in its sweep as Sophie's World, it shows again that Jostein Gaarder's unique and special gift is to make us wonder at the awe-inspiring mystery of the universe.",Fiction,Fiction
0756400430,In Conquest Born (Daw Book Collectors),C. S. Friedman,2001,Daw Books,"Zatar and Anzha, the powerful opposing generals of the Braxana and Azeans, are determined to use the war between their peoples to settle a personal feud. Reprint.",Fiction,Fiction
0756400619,The Serpent's Shadow,Mercedes Lackey,2002,Daw Books,"From the magical mysteries of India to the gaslit streets of Victorian London, Mercedes Lackey's unique departure from her Valdemar series follows a young woman doctor as she searches for the secret behind the sorcery in her blood.",Fiction,Fiction
0756401100,"Sorcery Rising (Fool's Gold, Book 1)",Jude Fisher,2003,Daw Books,"A talented knife-maker with a natural affinity with the elements of the earth, Katla Aransen, the beautiful and rebellious daughter of an Eyran merchant, finds herself targeted by Istrian fanatics after she accidentally commits sacrilege and by Saro Katla, a blade-forger; and Saro, the second son of an Istrian nobleman--are forever changed.",Fiction,Fiction
0756401534,Joust (Joust),Mercedes Lackey,2004,Daw Books,"Vetch, an Altan serf, must learn the secret of the Tian jousters and their dragons in order to save his people.",Fiction,Fiction
075640181X,The War of the Flowers,Tad Williams,2004,Daw Books,"When his music career becomes stagnant, thirty-year-old Theo Vilmos seeks solace in a secluded cabin in the woods, where he discovers an old book written by his great-uncle that transports him into the terrifying world of Faerie, a strange and dangerous place that holds the key to his destiny. Reprint.",Fiction,Fiction
0758207743,Bad Boys in Black Tie,Lori Foster,2004,BRAVA,"What's a single girl to do when a sexy bad boy comes calling? Foster, Leigh and McCarthy each contribute stories in which the heroines struggle with the prospect of Mr. Right vs. Mr. Right Now.",Fiction,Fiction
0761104844,"1,000 Places to See Before You Die",Patricia Schultz,2003,Workman Publishing,"Describes essential places to see from around the world, offering information on what to find at each spot and the best time to visit.",Travel,Travel
0761129588,"What to Expect the First Year, Second Edition",Heidi Murkoff,2003,Workman Publishing,"Describes each stage of child development, answers questions about child care, and includes information on common childhood ailments.",Family & Relationships,Family & Relationships
0761512195,"Your First Year in Network Marketing: Overcome Your Fears, Experience Success, and Achieve Your Dreams!",MARK YARNELL,1998,Prima Lifestyles,"Offers advice on dealing with rejection, recruiting others, managing one's downline, maintaining focus and enthusiasm, conducting home meetings, and easing from a profession to full-time network marketing",Business & Economics,Business and Economics
0762104201,New Complete Guide to Sewing: Step-By-Step Techniques for Making Clothes and Home Accessories,Editors of Reader's Digest,2002,Reader's Digest Association,"Provides general instructions for fitting, constructing, tailoring, and finishing women's, men's, and children's clothing and for making curtains and bedcoverings.",Crafts & Hobbies,Crafts & Hobbies
